,batch_id,j_i,stimulus_id,stim_squence,violation_type,epsilon,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,forced_exposure_max,n_sample
45,0,7,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,4
46,0,7,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,12
47,0,7,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
48,0,8,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,13
49,0,8,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,3
50,0,8,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,4
51,0,8,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,1
52,0,8,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,1
53,0,8,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,1
54,0,9,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,18
55,0,9,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,31
56,0,9,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,1
57,0,9,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,7
58,0,9,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,4
59,0,9,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
60,0,10,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,39
61,0,10,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,22
62,0,10,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,14
63,0,10,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
64,0,10,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
65,0,10,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,6
66,0,11,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,45
67,0,11,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,12
68,0,11,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,6
69,0,11,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,15
70,0,11,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,8
71,0,11,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,16
72,0,12,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,19
73,0,12,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,22
74,0,12,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,5
75,0,12,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,3
76,0,12,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,6
77,0,12,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,6
78,0,13,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,24
79,0,13,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,7
80,0,13,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,4
81,0,13,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,3
82,0,13,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,4
83,0,13,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,3
84,0,14,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,18
85,0,14,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,5
86,0,14,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,6
87,0,14,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
88,0,14,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
89,0,14,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
90,0,15,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,44
91,0,15,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,7
92,0,15,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,1
93,0,15,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
94,0,15,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
95,0,15,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,1
96,0,16,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,33
97,0,16,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,4
98,0,16,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,20
99,0,16,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,14
100,0,16,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
101,0,16,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
102,0,17,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,30
103,0,17,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,11
104,0,17,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,8
105,0,17,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,10
106,0,17,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,6
107,0,17,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,9
108,0,18,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,16
109,0,18,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,27
110,0,18,2,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,8
111,0,18,3,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,2
112,0,18,4,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,10
113,0,18,5,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,3
114,0,19,0,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,15
115,0,19,1,BBBBBB,identity,0.0001,0.219,0.0882,0,1,1,5,,3
