,stimulus_id,EIG,Look_away,surprisal,kl
154,5,,False,-0.04419004837409202,
155,5,,False,-0.04418120213856959,
156,5,,False,-0.044194233309872266,
157,5,,False,-0.044191217781211496,
158,5,,False,-0.044188823067457444,
159,5,,False,-0.044189296412310605,
160,5,,False,-0.044177044516297836,
161,5,,False,-0.04418363376361757,
162,5,,False,-0.04418779053175024,
163,5,,False,-0.04418480098470133,
164,5,,False,-0.04418786095065946,
165,5,,False,-0.044170028685390085,
166,5,,False,-0.04417750964737585,
167,5,,False,-0.04418678587178142,
168,5,,False,-0.04417562356613096,
169,5,,False,-0.044181217668356865,
170,5,,False,-0.04420454935641514,
171,5,,False,-0.04416625992994522,
172,5,,False,-0.044200823329612796,
173,5,,False,-0.04418349492916823,
174,5,,False,-0.04417489672632725,
175,5,,False,-0.04418904849519685,
