,batch_id,j_i,stimulus_id,stim_squence,violation_type,epsilon,b_val,d_val,n_sample
90,6,10,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,186
91,6,11,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,26
92,6,12,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,55
93,6,13,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,167
94,6,14,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,56
95,6,15,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,60
96,6,16,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,49
97,6,17,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,92
98,6,18,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,32
99,6,19,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,45
100,8,0,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,78
101,8,1,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,56
102,8,2,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,122
103,8,3,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,66
104,8,4,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,74
105,8,5,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,59
106,8,6,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,36
107,8,7,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,64
108,8,8,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,38
109,8,9,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,79
110,8,10,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,164
111,8,11,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,29
112,8,12,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,43
113,8,13,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,27
114,8,14,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,46
115,8,15,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,45
116,8,16,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,115
117,8,17,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,23
118,8,18,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,15
119,8,19,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,40
120,10,0,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,39
121,10,1,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,18
122,10,2,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,10
123,10,3,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,135
124,10,4,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,81
125,10,5,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,32
126,10,6,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,10
127,10,7,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,37
128,10,8,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,34
129,10,9,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,13
130,10,10,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,58
131,10,11,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,49
132,10,12,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,26
133,10,13,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,127
134,10,14,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,103
135,10,15,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,58
136,10,16,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,79
137,10,17,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,9
138,10,18,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,55
139,10,19,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,150
140,11,0,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,84
141,11,1,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,13
142,11,2,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,71
143,11,3,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,11
144,11,4,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,55
145,11,5,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,11
146,11,6,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,52
147,11,7,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,90
148,11,8,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,89
149,11,9,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,46
