subject,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type
SS1682423635430,2173,background_block,media/padded_stims/animate_006_left.png,null,animate_single_left,null,null,6,5,12,animate,single,left,background
SS1682423635430,2014,background_block,media/padded_stims/animate_006_left.png,null,animate_single_left,null,null,6,6,12,animate,single,left,background
SS1682423635430,5463,background_block,media/padded_stims/inanimate_011_right.png,null,inanimate_single_right,null,null,6,1,13,inanimate,single,right,background
SS1682423635430,4698,background_block,media/padded_stims/inanimate_011_right.png,null,inanimate_single_right,null,null,6,2,13,inanimate,single,right,background
SS1682423635430,2519,background_block,media/padded_stims/inanimate_011_right.png,null,inanimate_single_right,null,null,6,3,13,inanimate,single,right,background
SS1682423635430,2951,background_block,media/padded_stims/inanimate_011_right.png,null,inanimate_single_right,null,null,6,4,13,inanimate,single,right,background
SS1682423635430,3416,background_block,media/padded_stims/inanimate_011_right.png,null,inanimate_single_right,null,null,6,5,13,inanimate,single,right,background
SS1682423635430,3037,background_block,media/padded_stims/inanimate_011_right.png,null,inanimate_single_right,null,null,6,6,13,inanimate,single,right,background
SS1682423635430,1831,deviant_block,media/padded_stims/inanimate_001_left.png,media/padded_stims/animate_001_left.png,inanimate_single_left,animate_single_left,animacy,4,1,14,inanimate,single,left,background
SS1682423635430,2375,deviant_block,media/padded_stims/inanimate_001_left.png,media/padded_stims/animate_001_left.png,inanimate_single_left,animate_single_left,animacy,4,2,14,inanimate,single,left,background
SS1682423635430,3032,deviant_block,media/padded_stims/inanimate_001_left.png,media/padded_stims/animate_001_left.png,inanimate_single_left,animate_single_left,animacy,4,3,14,inanimate,single,left,background
SS1682423635430,3667,deviant_block,media/padded_stims/inanimate_001_left.png,media/padded_stims/animate_001_left.png,inanimate_single_left,animate_single_left,animacy,4,4,14,inanimate,single,left,deviant
SS1682423635430,2570,background_block,media/padded_stims/inanimate_003_right.png,null,inanimate_pair_right,null,null,4,1,15,inanimate,pair,right,background
SS1682423635430,3878,background_block,media/padded_stims/inanimate_003_right.png,null,inanimate_pair_right,null,null,4,2,15,inanimate,pair,right,background
SS1682423635430,2351,background_block,media/padded_stims/inanimate_003_right.png,null,inanimate_pair_right,null,null,4,3,15,inanimate,pair,right,background
SS1682423635430,3530,background_block,media/padded_stims/inanimate_003_right.png,null,inanimate_pair_right,null,null,4,4,15,inanimate,pair,right,background
SS1682423635430,5381,background_block,media/padded_stims/animate_010_right.png,null,animate_pair_right,null,null,4,1,16,animate,pair,right,background
SS1682423635430,6252,background_block,media/padded_stims/animate_010_right.png,null,animate_pair_right,null,null,4,2,16,animate,pair,right,background
SS1682423635430,5196,background_block,media/padded_stims/animate_010_right.png,null,animate_pair_right,null,null,4,3,16,animate,pair,right,background
SS1682423635430,2937,background_block,media/padded_stims/animate_010_right.png,null,animate_pair_right,null,null,4,4,16,animate,pair,right,background
