stim1,stim2,stim3,stim4,stim5,stim6,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,batch_id,stim_sequence
17,70,2,2,2,1,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,15,BDBBBB
23,0,1,0,0,0,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,14,BDBBBB
18,1,0,0,0,0,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,16,BDBBBB
5,0,1,0,0,0,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,17,BDBBBB
73,1,0,0,0,0,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,15,BDBBBB
33,222,71,5,4,3,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,9,BDBBBB
112,21,3,2,2,2,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,16,BDBBBB
90,12,0,0,0,0,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,18,BDBBBB
58,1,1,1,1,1,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,17,BDBBBB
50,1,3,2,2,2,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,19,BDBBBB
16,2,2,1,1,1,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,10,BDBBBB
45,12,2,2,2,2,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,18,BDBBBB
38,5,2,1,2,2,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,0,BBBDBB
91,0,10,5,4,4,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,11,BDBBBB
102,4,4,12,1,1,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,1,BBBDBB
53,88,52,7,7,7,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,12,BDBBBB
27,3,5,4,3,3,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,19,BDBBBB
71,12,10,79,3,3,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,2,BBBDBB
49,9,6,224,195,3,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,0,BBBDBB
11,78,159,2,1,0,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,13,BDBBBB
20,8,1,10,0,0,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,1,BBBDBB
15,133,169,1,1,1,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,14,BDBBBB
83,6,5,12,5,4,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,3,BBBDBB
48,6,4,5,2,2,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,4,BBBDBB
38,16,2,1,1,1,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,15,BDBBBB
40,5,5,1,5,4,-0.8025275038465096,-1.645536248631588,2.0,1.0,1.0,1.0,1e-06,2,BBBDBB
85,33,9,8,8,7,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,16,BDBBBB
111,3,3,22,1,0,-2.144269911290341,0.18314051595557,-4.0,1.0,1.0,1.0,1e-06,5,BBBDBB
