trialNum, NumTeachers, target, IG, sortedStudents, scoreAboveBaseline
3,10,0.8,520.7386018217127,sorted,0
3,1,0.9,533.2386018217125,unsorted,0
3,1,0.9,533.2386018217121,sorted,0
3,2,0.9,533.2386018217128,unsorted,0
3,2,0.9,533.2386018217126,sorted,0
3,3,0.9,533.2386018217127,unsorted,0
3,3,0.9,533.2386018217127,sorted,0
3,5,0.9,533.2386018217127,unsorted,0
3,5,0.9,533.2386018217127,sorted,0
3,10,0.9,533.2386018217126,unsorted,0
3,10,0.9,533.2386018217127,sorted,0
4,1,0.5,474.75383684531795,unsorted,0
4,1,0.5,474.75383684531784,sorted,0
4,2,0.5,474.7538368453178,unsorted,0
4,2,0.5,509.35723237241723,sorted,0
4,3,0.5,474.7538368453178,unsorted,0
4,3,0.5,506.57180455029356,sorted,0
4,5,0.5,476.874100381518,unsorted,0
4,5,0.5,509.35723237241723,sorted,0
4,10,0.5,478.4018943049117,unsorted,0
4,10,0.5,509.35723237241723,sorted,0
4,1,0.6,494.75383684531755,unsorted,0
4,1,0.6,494.7538368453173,sorted,0
4,2,0.6,494.7538368453181,unsorted,0
4,2,0.6,506.85723237241723,sorted,0
4,3,0.6,494.753836845318,unsorted,0
4,3,0.6,511.72180455029365,sorted,0
4,5,0.6,494.75383684531795,unsorted,0
4,5,0.6,511.3572323724173,sorted,0
4,10,0.6,494.75383684531795,unsorted,0
4,10,0.6,511.3929571864875,sorted,0
4,1,0.7,511.42050351198503,unsorted,0
4,1,0.7,511.42050351198475,sorted,0
4,2,0.7,511.4205035119848,unsorted,0
4,2,0.7,511.42050351198475,sorted,0
4,3,0.7,511.42050351198475,unsorted,0
4,3,0.7,511.8884712169606,sorted,0
4,5,0.7,511.42050351198475,unsorted,0
4,5,0.7,515.6998255785711,sorted,0
4,10,0.7,511.42050351198463,unsorted,0
4,10,0.7,515.6998255785709,sorted,0
4,1,0.8,525.7062177976987,unsorted,0
4,1,0.8,525.7062177976991,sorted,0
4,2,0.8,525.706217797699,unsorted,0
4,2,0.8,525.7062177976987,sorted,0
4,3,0.8,525.7062177976989,unsorted,0
4,3,0.8,525.7062177976989,sorted,0
4,5,0.8,525.706217797699,unsorted,0
4,5,0.8,525.7062177976989,sorted,0
4,10,0.8,525.7062177976989,unsorted,0
4,10,0.8,525.7062177976989,sorted,0
4,1,0.9,538.2062177976986,unsorted,0
4,1,0.9,538.2062177976983,sorted,0
4,2,0.9,538.2062177976991,unsorted,0
4,2,0.9,538.2062177976986,sorted,0
4,3,0.9,538.2062177976989,unsorted,0
4,3,0.9,538.2062177976987,sorted,0
4,5,0.9,538.2062177976989,unsorted,0
4,5,0.9,538.2062177976989,sorted,0
4,10,0.9,538.2062177976989,unsorted,0
4,10,0.9,538.2062177976989,sorted,0
5,1,0.5,476.4206782690108,unsorted,0
