trialNum, NumTeachers, NumAssessments, target, IG, scoreAboveBaseline
0,10,0,0.8,2495.7339651881393,0
0,10,1,0.8,0,0
0,10,2,0.8,0,0
0,10,3,0.8,0,0
0,10,4,0.8,0,0
0,10,5,0.8,0,0
0,1,0,0.9,2567.4234657384973,0
0,1,1,0.9,2567.4234657384973,0
0,1,2,0.9,2567.423465738497,0
0,1,3,0.9,2567.423465738497,0
0,1,4,0.9,2567.423465738497,0
0,1,5,0.9,0,0
0,2,0,0.9,2567.4234657384986,0
0,2,1,0.9,2567.4234657384986,0
0,2,2,0.9,2567.4234657384986,0
0,2,3,0.9,2567.4234657384986,0
0,2,4,0.9,2567.4234657384995,0
0,2,5,0.9,0,0
0,3,0,0.9,2567.4234657385,0
0,3,1,0.9,2567.4234657384995,0
0,3,2,0.9,2567.4234657385,0
0,3,3,0.9,2567.4234657384995,0
0,3,4,0.9,0,0
0,3,5,0.9,0,0
0,4,0,0.9,2567.4234657385005,0
0,4,1,0.9,2567.4234657385005,0
0,4,2,0.9,2567.423465738501,0
0,4,3,0.9,2567.4234657385005,0
0,4,4,0.9,0,0
0,4,5,0.9,0,0
0,5,0,0.9,2567.4234657385005,0
0,5,1,0.9,2567.4234657385005,0
0,5,2,0.9,2567.4234657385005,0
0,5,3,0.9,0,0
0,5,4,0.9,0,0
0,5,5,0.9,0,0
0,6,0,0.9,2567.4234657385005,0
0,6,1,0.9,2567.4234657385005,0
0,6,2,0.9,2567.4234657385005,0
0,6,3,0.9,0,0
0,6,4,0.9,0,0
0,6,5,0.9,0,0
0,7,0,0.9,2567.4234657385005,0
0,7,1,0.9,2567.4234657385005,0
0,7,2,0.9,0,0
0,7,3,0.9,0,0
0,7,4,0.9,0,0
0,7,5,0.9,0,0
0,8,0,0.9,2567.4234657385,0
0,8,1,0.9,2567.4234657385005,0
0,8,2,0.9,0,0
0,8,3,0.9,0,0
0,8,4,0.9,0,0
0,8,5,0.9,0,0
0,9,0,0.9,2567.4234657385005,0
0,9,1,0.9,0,0
0,9,2,0.9,0,0
0,9,3,0.9,0,0
0,9,4,0.9,0,0
0,9,5,0.9,0,0
0,10,0,0.9,2567.4234657385005,0
0,10,1,0.9,0,0
0,10,2,0.9,0,0
0,10,3,0.9,0,0
0,10,4,0.9,0,0
0,10,5,0.9,0,0
1,1,0,0.5,2308.380357539185,0
1,1,1,0.5,2308.380357539185,0
1,1,2,0.5,2308.3803575391853,0
1,1,3,0.5,2308.3803575391853,0
1,1,4,0.5,2308.3803575391853,0
1,1,5,0.5,0,0
1,2,0,0.5,2363.028279656156,0
1,2,1,0.5,2353.8950268872604,0
1,2,2,0.5,2364.5424872666154,0
1,2,3,0.5,2373.4244256072298,0
1,2,4,0.5,2374.5230378958977,0
1,2,5,0.5,0,0
1,3,0,0.5,2358.3502499884353,0
1,3,1,0.5,2369.5277343788853,0
1,3,2,0.5,2373.3160477299875,0
1,3,3,0.5,2373.942802820761,0
1,3,4,0.5,0,0
1,3,5,0.5,0,0
1,4,0,0.5,2356.1646722086643,0
1,4,1,0.5,2362.915367550735,0
1,4,2,0.5,2372.3198068220636,0
1,4,3,0.5,2377.3661645828906,0
1,4,4,0.5,0,0
1,4,5,0.5,0,0
1,5,0,0.5,2360.533220634905,0
1,5,1,0.5,2370.149208028429,0
1,5,2,0.5,2378.275394113825,0
1,5,3,0.5,0,0
1,5,4,0.5,0,0
1,5,5,0.5,0,0
1,6,0,0.5,2366.5911793074106,0
1,6,1,0.5,2374.2038591095106,0
1,6,2,0.5,2375.32909718188,0
1,6,3,0.5,0,0
1,6,4,0.5,0,0
1,6,5,0.5,0,0
1,7,0,0.5,2365.72326215982,0
1,7,1,0.5,2373.4086772502624,0
1,7,2,0.5,0,0
1,7,3,0.5,0,0
1,7,4,0.5,0,0
