trialNum, NumAssessments, target, IG, noisyStudents, scoreAboveBaseline
0,4,0.9,2538.159330798745,noisy,0
1,0,0.5,2370.410411935057,true,0
1,0,0.5,2345.6969265355133,noisy,0
1,1,0.5,2370.410411935057,true,0
1,1,0.5,2353.33582161032,noisy,0
1,2,0.5,2370.410411935057,true,0
1,2,0.5,2362.8584544283003,noisy,0
1,3,0.5,2370.410411935057,true,0
1,3,0.5,2362.5756432860826,noisy,0
1,4,0.5,2370.410411935057,true,0
1,4,0.5,2366.9288538663495,noisy,0
1,0,0.6,2381.517960612685,true,0
1,0,0.6,2351.453368359976,noisy,0
1,1,0.6,2381.517960612685,true,0
1,1,0.6,2367.5046892573323,noisy,0
1,2,0.6,2381.517960612685,true,0
1,2,0.6,2372.768491907369,noisy,0
1,3,0.6,2381.517960612685,true,0
1,3,0.6,2375.3837145646526,noisy,0
1,4,0.6,2381.517960612685,true,0
1,4,0.6,2378.562214826541,noisy,0
1,0,0.7,2416.150216228362,true,0
1,0,0.7,2399.1754649285717,noisy,0
1,1,0.7,2416.150216228362,true,0
1,1,0.7,2406.5336522659913,noisy,0
1,2,0.7,2416.150216228362,true,0
1,2,0.7,2407.6179751377676,noisy,0
1,3,0.7,2416.150216228362,true,0
1,3,0.7,2410.52141723927,noisy,0
1,4,0.7,2416.150216228362,true,0
1,4,0.7,2412.81785810766,noisy,0
1,0,0.8,2467.3571253273976,true,0
1,0,0.8,2456.0021784939936,noisy,0
1,1,0.8,2467.3571253273976,true,0
1,1,0.8,2463.4870521690464,noisy,0
1,2,0.8,2467.3571253273976,true,0
1,2,0.8,2458.2643285585445,noisy,0
1,3,0.8,2467.3571253273976,true,0
1,3,0.8,2462.503254349577,noisy,0
1,4,0.8,2467.3571253273976,true,0
1,4,0.8,2463.307215896478,noisy,0
1,0,0.9,2527.0676749869535,true,0
1,0,0.9,2527.0676749869526,noisy,0
1,1,0.9,2527.0676749869535,true,0
1,1,0.9,2527.0676749869526,noisy,0
1,2,0.9,2527.0676749869535,true,0
1,2,0.9,2527.0676749869535,noisy,0
1,3,0.9,2527.0676749869535,true,0
1,3,0.9,2527.0676749869535,noisy,0
1,4,0.9,2527.0676749869535,true,0
1,4,0.9,2527.0676749869535,noisy,0
2,0,0.5,2394.4170515027836,true,0
2,0,0.5,2369.66191701784,noisy,0
2,1,0.5,2394.4170515027836,true,0
2,1,0.5,2375.684233101444,noisy,0
2,2,0.5,2394.4170515027836,true,0
2,2,0.5,2385.807720281765,noisy,0
2,3,0.5,2394.4170515027836,true,0
2,3,0.5,2389.3233748621137,noisy,0
2,4,0.5,2394.4170515027836,true,0
2,4,0.5,2390.386755072875,noisy,0
2,0,0.6,2419.2661727482237,true,0
2,0,0.6,2401.1389341695603,noisy,0
2,1,0.6,2419.2661727482237,true,0
2,1,0.6,2405.3191256748464,noisy,0
2,2,0.6,2419.2661727482237,true,0
2,2,0.6,2406.1568716403576,noisy,0
2,3,0.6,2419.2661727482237,true,0
2,3,0.6,2413.542709170075,noisy,0
2,4,0.6,2419.2661727482237,true,0
2,4,0.6,2414.9437260513837,noisy,0
2,0,0.7,2462.1066961709375,true,0
2,0,0.7,2453.318570937858,noisy,0
2,1,0.7,2462.1066961709375,true,0
2,1,0.7,2452.456249775772,noisy,0
2,2,0.7,2462.1066961709375,true,0
2,2,0.7,2448.3287771500845,noisy,0
2,3,0.7,2462.1066961709375,true,0
2,3,0.7,2454.1287672692674,noisy,0
2,4,0.7,2462.1066961709375,true,0
2,4,0.7,2459.261510936323,noisy,0
2,0,0.8,2516.365727513522,true,0
2,0,0.8,2507.313516024784,noisy,0
2,1,0.8,2516.365727513522,true,0
2,1,0.8,2511.69169280827,noisy,0
2,2,0.8,2516.365727513522,true,0
2,2,0.8,2513.841363436175,noisy,0
2,3,0.8,2516.365727513522,true,0
2,3,0.8,2511.7897249867046,noisy,0
2,4,0.8,2516.365727513522,true,0
2,4,0.8,2514.0490028009535,noisy,0
2,0,0.9,2576.076277173077,true,0
2,0,0.9,2576.076277173077,noisy,0
2,1,0.9,2576.076277173077,true,0
