NumTeachers, target, IG, sortedStudents
2,0.8,2375.231421193441, sorted
3,0.8,2375.2314211934417, unsorted
3,0.8,2375.231421193442, sorted
5,0.8,2375.231421193442, unsorted
5,0.8,2375.2314211934417, sorted
10,0.8,2375.231421193442, unsorted
10,0.8,2375.2314211934417, sorted
1,0.9,2325.2314211934404, unsorted
1,0.9,2325.231421193443, sorted
2,0.9,2325.231421193441, unsorted
2,0.9,2325.231421193441, sorted
3,0.9,2325.2314211934417, unsorted
3,0.9,2325.231421193442, sorted
5,0.9,2325.231421193442, unsorted
5,0.9,2325.2314211934417, sorted
10,0.9,2325.231421193442, unsorted
10,0.9,2325.2314211934417, sorted
1,0.5,2319.020513415712, unsorted
1,0.5,2319.020513415713, sorted
2,0.5,2319.020513415711, unsorted
2,0.5,2385.5417192538407, sorted
3,0.5,2319.0205134157104, unsorted
3,0.5,2390.2688982282784, sorted
5,0.5,2319.020513415711, unsorted
5,0.5,2393.6266667648315, sorted
10,0.5,2323.128460379758, unsorted
10,0.5,2393.8937295500805, sorted
1,0.6,2360.1842177459953, unsorted
1,0.6,2360.1842177459966, sorted
2,0.6,2360.1842177459957, unsorted
2,0.6,2383.461855008726, sorted
3,0.6,2360.1842177459953, unsorted
3,0.6,2389.5164373474604, sorted
5,0.6,2360.184217745995, unsorted
5,0.6,2391.769769585492, sorted
10,0.6,2360.2691852246653, unsorted
10,0.6,2392.920497875299, sorted
1,0.7,2393.5175510793283, unsorted
1,0.7,2393.5175510793256, sorted
2,0.7,2393.517551079328, unsorted
2,0.7,2393.5175510793288, sorted
3,0.7,2393.5175510793288, unsorted
3,0.7,2397.124379259627, sorted
5,0.7,2393.5175510793288, unsorted
5,0.7,2398.8711972567535, sorted
10,0.7,2393.5175510793283, unsorted
10,0.7,2399.4872063735384, sorted
1,0.8,2400.660408222185, unsorted
1,0.8,2400.6604082221866, sorted
2,0.8,2400.6604082221847, unsorted
2,0.8,2400.660408222185, sorted
3,0.8,2400.660408222185, unsorted
3,0.8,2400.6604082221866, sorted
5,0.8,2400.6604082221857, unsorted
5,0.8,2400.660408222185, sorted
10,0.8,2400.660408222185, unsorted
10,0.8,2400.6604082221847, sorted
