epsilon,mu_prior,v_prior,beta_prior,alpha_prior,stim_sequence,forced_exposure_max,fam_duration_GRANCH,test_type_GRANCH,param_info,intercept,slope,n_samples.x,test_type_nolearning,fam_duration_nolearning,n_samples.y,test_type,fam_duration,value_type,value
1e-5,0,2,15,5,BBD,5,2,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.0235,nov,2,1.477,Novel,2,RANCH (infants),20.39832214090471
1e-5,0,2,15,5,BBD,5,2,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.0235,nov,2,1.477,Novel,2,No Learning,17.36189335403371
1e-5,0,2,15,5,BBD,5,2,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.0235,nov,2,1.477,Novel,2,No Noise,18.866992554686043
1e-5,0,2,15,5,BBD,5,2,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.0235,nov,2,1.477,Novel,2,Infant behavior,19.926
1e-5,0,2,15,5,BD,5,1,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.006,nov,1,1.4755,Novel,1,RANCH (infants),20.505766267804077
1e-5,0,2,15,5,BD,5,1,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.006,nov,1,1.4755,Novel,1,No Learning,17.5104672430349
1e-5,0,2,15,5,BD,5,1,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.006,nov,1,1.4755,Novel,1,No Noise,18.837745132636712
1e-5,0,2,15,5,BD,5,1,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.006,nov,1,1.4755,Novel,1,Infant behavior,18.537464285714286
1e-5,0,2,15,5,B,5,0,fam,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.969,fam,0,1.571,Familiar,0,RANCH (infants),21.719080667420812
1e-5,0,2,15,5,B,5,0,fam,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.969,fam,0,1.571,Familiar,0,No Learning,17.824594894065978
1e-5,0,2,15,5,B,5,0,fam,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.969,fam,0,1.571,Familiar,0,No Noise,20.699831003110994
1e-5,0,2,15,5,B,5,0,fam,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.969,fam,0,1.571,Familiar,0,Infant behavior,21.036882352941177
