subject,trial_number,trial_type,stimuli_sequence,complexity,trial_looking_time
SS1630949011055,6,background,BBBDBB,simple,6635.900000035763
SS1630949011055,1,background,BBBBBD,simple,6060.300000011921
SS1630949011055,2,background,BBBBBD,simple,5357.399999976158
SS1630949011055,3,background,BBBBBD,simple,6714.200000047684
SS1630949011055,4,background,BBBBBD,simple,7193.799999952316
SS1630949011055,5,background,BBBBBD,simple,7149.5
SS1630949011055,6,deviant,BBBBBD,simple,6351.099999964237
SS1630949011055,1,background,BBBBBD,complex,5120.5
SS1630949011055,2,background,BBBBBD,complex,3961.299999952316
SS1630949011055,3,background,BBBBBD,complex,5671.599999964237
SS1630949011055,4,background,BBBBBD,complex,4508.300000011921
SS1630949011055,5,background,BBBBBD,complex,7540.800000011921
SS1630949011055,6,deviant,BBBBBD,complex,7228.299999952316
SS1630949011055,1,background,BBBBBB,simple,29312.10000002384
SS1630949011055,2,background,BBBBBB,simple,8577.799999952316
SS1630949011055,3,background,BBBBBB,simple,3432.800000011921
SS1630949011055,4,background,BBBBBB,simple,2809.5
SS1630949011055,5,background,BBBBBB,simple,9396.5
SS1630949011055,6,background,BBBBBB,simple,4115.900000035763
SS1630949011055,1,background,BDBBBB,complex,5123.800000011921
SS1630949011055,2,deviant,BDBBBB,complex,4437.899999976158
SS1630949011055,3,background,BDBBBB,complex,32268
SS1630949011055,4,background,BDBBBB,complex,23477.89999997616
SS1630949011055,5,background,BDBBBB,complex,6219.100000023842
SS1630949011055,6,background,BDBBBB,complex,3766.600000023842
SS1630949011055,1,background,BDBBBB,simple,16993.69999998808
SS1630949011055,2,deviant,BDBBBB,simple,13729.80000001192
SS1630949011055,3,background,BDBBBB,simple,8360.800000011921
SS1630949011055,4,background,BDBBBB,simple,6859.099999964237
SS1630949011055,5,background,BDBBBB,simple,997.8000000119208
SS1630949011055,6,background,BDBBBB,simple,15613.69999998808
SS1630949011055,1,background,BBBDBB,complex,3077.800000011921
SS1630949011055,2,background,BBBDBB,complex,3343.899999976158
SS1630949011055,3,background,BBBDBB,complex,4537
SS1630949011055,4,deviant,BBBDBB,complex,3070.5
SS1630949011055,5,background,BBBDBB,complex,5707.299999952316
SS1630949011055,6,background,BBBDBB,complex,10297.80000001192
SS1630949011055,1,background,BBBBBB,complex,8154.5
SS1630949011055,2,background,BBBBBB,complex,5166.800000011921
SS1630949011055,3,background,BBBBBB,complex,4560.700000047684
SS1630949011055,4,background,BBBBBB,complex,2556
SS1630949011055,5,background,BBBBBB,complex,3817.800000011921
SS1630949011055,6,background,BBBBBB,complex,3172.800000011921
SS1630950341464,1,background,BDBBBB,complex,14235
SS1630950341464,2,deviant,BDBBBB,complex,3154
SS1630950341464,3,background,BDBBBB,complex,2049
SS1630950341464,4,background,BDBBBB,complex,24439
SS1630950341464,5,background,BDBBBB,complex,2820
SS1630950341464,6,background,BDBBBB,complex,15771
SS1630950341464,1,background,BBBBBD,simple,2597
SS1630950341464,2,background,BBBBBD,simple,18369
SS1630950341464,3,background,BBBBBD,simple,1727
SS1630950341464,4,background,BBBBBD,simple,1546
SS1630950341464,5,background,BBBBBD,simple,532
SS1630950341464,6,deviant,BBBBBD,simple,33255
SS1630950341464,1,background,BBBDBB,simple,30851
SS1630950341464,2,background,BBBDBB,simple,1975
SS1630950341464,3,background,BBBDBB,simple,3398
SS1630950341464,4,deviant,BBBDBB,simple,4752
SS1630950341464,5,background,BBBDBB,simple,1465
SS1630950341464,6,background,BBBDBB,simple,881
SS1630950341464,1,background,BBBDBB,complex,42966
SS1630950341464,2,background,BBBDBB,complex,507
SS1630950341464,3,background,BBBDBB,complex,852
SS1630950341464,4,deviant,BBBDBB,complex,3784
SS1630950341464,5,background,BBBDBB,complex,12621
SS1630950341464,6,background,BBBDBB,complex,1788
SS1630950341464,1,background,BBBBBD,complex,2129
SS1630950341464,2,background,BBBBBD,complex,2111
SS1630950341464,3,background,BBBBBD,complex,998
SS1630950341464,4,background,BBBBBD,complex,2587
SS1630950341464,5,background,BBBBBD,complex,665
SS1630950341464,6,deviant,BBBBBD,complex,27455
SS1630950341464,1,background,BDBBBB,simple,2089
SS1630950341464,2,deviant,BDBBBB,simple,958
SS1630950341464,3,background,BDBBBB,simple,1174
SS1630950341464,4,background,BDBBBB,simple,1010
SS1630950341464,5,background,BDBBBB,simple,1159
SS1630950341464,6,background,BDBBBB,simple,1100
SS1630950341464,1,background,BBBBBB,complex,2280
SS1630950341464,2,background,BBBBBB,complex,2072
SS1630950341464,3,background,BBBBBB,complex,1768
SS1630950341464,4,background,BBBBBB,complex,1930
SS1630950341464,5,background,BBBBBB,complex,2322
SS1630950341464,6,background,BBBBBB,complex,2270
SS1630950341464,1,background,BBBBBB,simple,1468
SS1630950341464,2,background,BBBBBB,simple,1096
SS1630950341464,3,background,BBBBBB,simple,1538
SS1630950341464,4,background,BBBBBB,simple,955
SS1630950341464,5,background,BBBBBB,simple,1171
SS1630950341464,6,background,BBBBBB,simple,1889
SS1630952373372,1,background,BDBBBB,simple,12110.10000000149
SS1630952373372,2,deviant,BDBBBB,simple,12870.800000000743
SS1630952373372,3,background,BDBBBB,simple,13165.699999999257
SS1630952373372,4,background,BDBBBB,simple,8049.300000000745
SS1630952373372,5,background,BDBBBB,simple,5790.900000002235
SS1630952373372,6,background,BDBBBB,simple,7540.800000000745
SS1630952373372,1,background,BBBBBD,complex,7882.5
