subject,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type
SS1682398101141,2169,background_block,media/padded_stims/animate_002_right.png,null,animate_pair_right,null,null,6,3,10,animate,pair,right,background
SS1682398101141,2405,background_block,media/padded_stims/animate_002_right.png,null,animate_pair_right,null,null,6,4,10,animate,pair,right,background
SS1682398101141,783,background_block,media/padded_stims/animate_002_right.png,null,animate_pair_right,null,null,6,5,10,animate,pair,right,background
SS1682398101141,591,background_block,media/padded_stims/animate_002_right.png,null,animate_pair_right,null,null,6,6,10,animate,pair,right,background
SS1682398101141,746,deviant_block,media/padded_stims/inanimate_001_left.png,media/padded_stims/inanimate_002_right.png,inanimate_pair_left,inanimate_pair_right,pose,4,1,11,inanimate,pair,left,background
SS1682398101141,614,deviant_block,media/padded_stims/inanimate_001_left.png,media/padded_stims/inanimate_002_right.png,inanimate_pair_left,inanimate_pair_right,pose,4,2,11,inanimate,pair,left,background
SS1682398101141,1199,deviant_block,media/padded_stims/inanimate_001_left.png,media/padded_stims/inanimate_002_right.png,inanimate_pair_left,inanimate_pair_right,pose,4,3,11,inanimate,pair,left,background
SS1682398101141,1876,deviant_block,media/padded_stims/inanimate_001_left.png,media/padded_stims/inanimate_002_right.png,inanimate_pair_left,inanimate_pair_right,pose,4,4,11,inanimate,pair,left,deviant
SS1682398101141,689,background_block,media/padded_stims/inanimate_009_left.png,null,inanimate_pair_left,null,null,4,1,12,inanimate,pair,left,background
SS1682398101141,3729,background_block,media/padded_stims/inanimate_009_left.png,null,inanimate_pair_left,null,null,4,2,12,inanimate,pair,left,background
SS1682398101141,2788,background_block,media/padded_stims/inanimate_009_left.png,null,inanimate_pair_left,null,null,4,3,12,inanimate,pair,left,background
SS1682398101141,1930,background_block,media/padded_stims/inanimate_009_left.png,null,inanimate_pair_left,null,null,4,4,12,inanimate,pair,left,background
SS1682398101141,880,deviant_block,media/padded_stims/animate_009_left.png,media/padded_stims/animate_012_right.png,animate_pair_left,animate_pair_right,pose,6,1,13,animate,pair,left,background
SS1682398101141,3628,deviant_block,media/padded_stims/animate_009_left.png,media/padded_stims/animate_012_right.png,animate_pair_left,animate_pair_right,pose,6,2,13,animate,pair,left,background
SS1682398101141,1718,deviant_block,media/padded_stims/animate_009_left.png,media/padded_stims/animate_012_right.png,animate_pair_left,animate_pair_right,pose,6,3,13,animate,pair,left,background
SS1682398101141,3594,deviant_block,media/padded_stims/animate_009_left.png,media/padded_stims/animate_012_right.png,animate_pair_left,animate_pair_right,pose,6,4,13,animate,pair,left,background
SS1682398101141,1456,deviant_block,media/padded_stims/animate_009_left.png,media/padded_stims/animate_012_right.png,animate_pair_left,animate_pair_right,pose,6,5,13,animate,pair,left,background
SS1682398101141,1487,deviant_block,media/padded_stims/animate_009_left.png,media/padded_stims/animate_012_right.png,animate_pair_left,animate_pair_right,pose,6,6,13,animate,pair,left,deviant
SS1682398101141,986,deviant_block,media/padded_stims/animate_003_right.png,media/padded_stims/animate_008_right.png,animate_single_right,animate_pair_right,number,4,1,14,animate,single,right,background
SS1682398101141,1016,deviant_block,media/padded_stims/animate_003_right.png,media/padded_stims/animate_008_right.png,animate_single_right,animate_pair_right,number,4,2,14,animate,single,right,background
SS1682398101141,1032,deviant_block,media/padded_stims/animate_003_right.png,media/padded_stims/animate_008_right.png,animate_single_right,animate_pair_right,number,4,3,14,animate,single,right,background
