stim1,stim2,stim3,stim4,stim5,stim6,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,world_EIG,batch_id,stim_sequence
3,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,12,BBBBBB
2,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,12,BBBBBB
3,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,17,BBBBBB
5,0,1,0,0,0,-2.3538215866335785,3.4758029645696884,0.0,1.0,1.0,1.0,0.0001,0.1,3,BBBBBB
15,3,2,2,2,3,-1.8032578941548507,2.7925623214232425,0.0,1.0,1.0,1.0,0.0001,0.01,4,BBBBBB
2,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,13,BBBBBB
5,0,0,0,0,0,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,8,BBBBBB
12,0,0,0,0,0,-1.1773582728169096,-2.7970101116064394,0.0,1.0,1.0,1.0,0.0001,0.01,1,BBBBBB
6,0,0,0,0,0,-1.6637220230183472,-2.3473254925152127,0.0,1.0,1.0,1.0,0.0001,0.01,1,BBBBBB
2,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,13,BBBBBB
3,0,0,0,0,0,-2.3473254925152127,-2.969113624076612,0.0,1.0,1.0,1.0,0.0001,0.1,2,BBBBBB
3,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,18,BBBBBB
0,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,14,BBBBBB
6,0,0,0,0,0,-2.3538215866335785,3.4758029645696884,0.0,1.0,1.0,1.0,0.0001,0.1,4,BBBBBB
2,0,0,0,1,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,14,BBBBBB
13,0,0,0,0,0,0.9902615502231332,2.71896044268087,0.0,1.0,1.0,10.0,0.0001,0.01,5,BBBBBB
0,0,0,0,0,0,-0.674202105899037,3.574811538854705,0.0,1.0,1.0,1.0,0.0001,1.0,19,BBBBBB
6,0,0,1,0,0,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,9,BBBBBB
6,0,0,0,0,0,-2.3473254925152127,-2.969113624076612,0.0,1.0,1.0,1.0,0.0001,0.1,3,BBBBBB
2,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,15,BBBBBB
0,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,15,BBBBBB
2,0,0,0,0,0,-2.7216831988860206,-2.1702975175611185,0.0,1.0,1.0,1.0,0.0001,1.0,0,BDBBBB
3,1,0,0,0,0,-2.3538215866335785,3.4758029645696884,0.0,1.0,1.0,1.0,0.0001,0.1,5,BBBBBB
10,2,1,1,1,1,-1.8032578941548507,2.7925623214232425,0.0,1.0,1.0,1.0,0.0001,0.01,5,BBBBBB
8,4,3,3,3,3,-1.1773582728169096,-2.7970101116064394,0.0,1.0,1.0,1.0,0.0001,0.01,2,BBBBBB
0,0,0,0,0,2,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,16,BBBBBB
11,2,2,1,1,0,-1.6637220230183472,-2.3473254925152127,0.0,1.0,1.0,1.0,0.0001,0.01,2,BBBBBB
5,0,0,0,0,0,-2.3473254925152127,-2.969113624076612,0.0,1.0,1.0,1.0,0.0001,0.1,4,BBBBBB
0,4,0,0,0,0,-2.7216831988860206,-2.1702975175611185,0.0,1.0,1.0,1.0,0.0001,1.0,1,BDBBBB
2,1,1,0,0,0,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,10,BBBBBB
3,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,16,BBBBBB
1,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,17,BBBBBB
3,0,0,0,0,0,-2.7216831988860206,-2.1702975175611185,0.0,1.0,1.0,1.0,0.0001,1.0,2,BDBBBB
3,1,0,1,0,0,-2.3538215866335785,3.4758029645696884,0.0,1.0,1.0,1.0,0.0001,0.1,6,BBBBBB
1,1,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,17,BBBBBB
23,1,1,0,0,0,0.9902615502231332,2.71896044268087,0.0,1.0,1.0,10.0,0.0001,0.01,6,BBBBBB
2,0,0,0,0,0,0.18314051595557,3.145717222457705,0.0,1.0,1.0,10.0,0.0001,1.0,0,BBBBBB
4,1,0,0,0,0,-2.3473254925152127,-2.969113624076612,0.0,1.0,1.0,1.0,0.0001,0.1,5,BBBBBB
3,1,0,1,0,0,0.967029823083614,-1.8559644390018213,0.0,1.0,1.0,10.0,0.0001,0.1,0,BBBBBB
0,0,0,0,0,0,-2.7216831988860206,-2.1702975175611185,0.0,1.0,1.0,1.0,0.0001,1.0,3,BDBBBB
5,0,0,0,0,0,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,11,BBBBBB
3,1,0,0,0,0,0.2393190644817364,-2.591078215756625,0.0,1.0,1.0,10.0,0.0001,0.1,0,BBBBBB
2,0,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,18,BBBBBB
0,0,0,0,0,0,0.18314051595557,3.145717222457705,0.0,1.0,1.0,10.0,0.0001,1.0,1,BBBBBB
2,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,18,BBBBBB
4,0,0,0,0,0,-2.3538215866335785,3.4758029645696884,0.0,1.0,1.0,1.0,0.0001,0.1,7,BBBBBB
2,0,0,0,0,0,-2.7216831988860206,-2.1702975175611185,0.0,1.0,1.0,1.0,0.0001,1.0,4,BDBBBB
11,4,3,3,2,1,-1.8032578941548507,2.7925623214232425,0.0,1.0,1.0,1.0,0.0001,0.01,6,BBBBBB
7,0,0,0,0,0,3.6133347237967297,-2.3473254925152127,0.0,1.0,1.0,10.0,0.0001,0.01,0,BBBBBB
6,2,2,1,1,1,-1.6637220230183472,-2.3473254925152127,0.0,1.0,1.0,1.0,0.0001,0.01,3,BBBBBB
1,1,0,0,0,0,-1.6920596203492753,0.5865349393452923,0.0,1.0,1.0,1.0,0.0001,1.0,19,BBBBBB
12,4,3,2,2,2,-1.1773582728169096,-2.7970101116064394,0.0,1.0,1.0,1.0,0.0001,0.01,3,BBBBBB
5,1,1,1,0,0,0.967029823083614,-1.8559644390018213,0.0,1.0,1.0,10.0,0.0001,0.1,1,BBBBBB
1,0,0,0,0,0,0.18314051595557,3.145717222457705,0.0,1.0,1.0,10.0,0.0001,1.0,2,BBBBBB
4,0,1,0,0,0,0.2393190644817364,-2.591078215756625,0.0,1.0,1.0,10.0,0.0001,0.1,1,BBBBBB
4,0,1,0,0,0,-2.3473254925152127,-2.969113624076612,0.0,1.0,1.0,1.0,0.0001,0.1,6,BBBBBB
1,0,0,0,0,0,1.8113757056642288,-1.2483053789965857,0.0,1.0,1.0,1.0,0.0001,1.0,19,BBBBBB
7,1,0,0,0,0,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,12,BBBBBB
0,0,0,0,0,0,-2.7216831988860206,-2.1702975175611185,0.0,1.0,1.0,1.0,0.0001,1.0,5,BDBBBB
5,0,0,0,0,0,-2.3538215866335785,3.4758029645696884,0.0,1.0,1.0,1.0,0.0001,0.1,8,BBBBBB
0,0,0,0,0,0,0.18314051595557,3.145717222457705,0.0,1.0,1.0,10.0,0.0001,1.0,3,BBBBBB
2,0,0,0,0,0,-1.3003376250792011,-2.2740253565387407,0.0,1.0,1.0,1.0,0.0001,1.0,0,BDBBBB
5,0,0,0,0,0,0.9902615502231332,2.71896044268087,0.0,1.0,1.0,10.0,0.0001,0.01,7,BBBBBB
1,0,0,0,0,0,-2.2740253565387407,-1.3941356163238912,0.0,1.0,1.0,1.0,0.0001,1.0,0,BDBBBB
4,0,1,0,1,0,0.967029823083614,-1.8559644390018213,0.0,1.0,1.0,10.0,0.0001,0.1,2,BBBBBB
8,2,1,0,1,0,3.6133347237967297,-2.3473254925152127,0.0,1.0,1.0,10.0,0.0001,0.01,1,BBBBBB
0,0,0,0,0,0,-2.7216831988860206,-2.1702975175611185,0.0,1.0,1.0,1.0,0.0001,1.0,6,BDBBBB
2,1,1,1,1,1,0.2393190644817364,-2.591078215756625,0.0,1.0,1.0,10.0,0.0001,0.1,2,BBBBBB
5,1,1,0,1,0,-2.3473254925152127,-2.969113624076612,0.0,1.0,1.0,1.0,0.0001,0.1,7,BBBBBB
0,0,0,0,0,0,0.18314051595557,3.145717222457705,0.0,1.0,1.0,10.0,0.0001,1.0,4,BBBBBB
5,2,1,1,0,1,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,13,BBBBBB
2,0,0,0,0,0,-1.3003376250792011,-2.2740253565387407,0.0,1.0,1.0,1.0,0.0001,1.0,1,BDBBBB
3,2,0,0,0,0,-2.3538215866335785,3.4758029645696884,0.0,1.0,1.0,1.0,0.0001,0.1,9,BBBBBB
0,0,0,0,0,0,-2.7216831988860206,-2.1702975175611185,0.0,1.0,1.0,1.0,0.0001,1.0,7,BDBBBB
0,0,0,0,0,0,-2.2740253565387407,-1.3941356163238912,0.0,1.0,1.0,1.0,0.0001,1.0,1,BDBBBB
8,0,0,0,0,0,-1.6637220230183472,-2.3473254925152127,0.0,1.0,1.0,1.0,0.0001,0.01,4,BBBBBB
18,3,0,0,0,0,-1.1773582728169096,-2.7970101116064394,0.0,1.0,1.0,1.0,0.0001,0.01,4,BBBBBB
3,1,0,0,0,0,0.967029823083614,-1.8559644390018213,0.0,1.0,1.0,10.0,0.0001,0.1,3,BBBBBB
0,0,0,0,0,0,0.18314051595557,3.145717222457705,0.0,1.0,1.0,10.0,0.0001,1.0,5,BBBBBB
7,3,3,0,2,1,-1.8032578941548507,2.7925623214232425,0.0,1.0,1.0,1.0,0.0001,0.01,7,BBBBBB
7,0,0,0,0,0,0.2393190644817364,-2.591078215756625,0.0,1.0,1.0,10.0,0.0001,0.1,3,BBBBBB
5,1,0,1,0,1,-2.3473254925152127,-2.969113624076612,0.0,1.0,1.0,1.0,0.0001,0.1,8,BBBBBB
0,0,0,0,0,0,-1.3003376250792011,-2.2740253565387407,0.0,1.0,1.0,1.0,0.0001,1.0,2,BDBBBB
2,0,1,0,0,0,-2.7216831988860206,-2.1702975175611185,0.0,1.0,1.0,1.0,0.0001,1.0,8,BDBBBB
5,1,0,0,0,0,3.6133347237967297,-2.3473254925152127,0.0,1.0,1.0,10.0,0.0001,0.01,2,BBBBBB
2,1,0,0,0,0,-2.2740253565387407,-1.3941356163238912,0.0,1.0,1.0,1.0,0.0001,1.0,2,BDBBBB
2,0,0,0,0,0,0.18314051595557,3.145717222457705,0.0,1.0,1.0,10.0,0.0001,1.0,6,BBBBBB
0,0,0,0,0,0,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,14,BBBBBB
4,1,0,0,0,0,-2.3538215866335785,3.4758029645696884,0.0,1.0,1.0,1.0,0.0001,0.1,10,BBBBBB
6,0,0,0,0,0,0.9902615502231332,2.71896044268087,0.0,1.0,1.0,10.0,0.0001,0.01,8,BBBBBB
5,0,0,0,0,0,0.967029823083614,-1.8559644390018213,0.0,1.0,1.0,10.0,0.0001,0.1,4,BBBBBB
0,0,0,0,0,0,-2.7216831988860206,-2.1702975175611185,0.0,1.0,1.0,1.0,0.0001,1.0,9,BDBBBB
5,0,0,0,0,0,0.2393190644817364,-2.591078215756625,0.0,1.0,1.0,10.0,0.0001,0.1,4,BBBBBB
4,0,0,0,0,0,-1.3003376250792011,-2.2740253565387407,0.0,1.0,1.0,1.0,0.0001,1.0,3,BDBBBB
0,0,0,0,0,0,0.18314051595557,3.145717222457705,0.0,1.0,1.0,10.0,0.0001,1.0,7,BBBBBB
1,1,0,0,0,0,-2.2740253565387407,-1.3941356163238912,0.0,1.0,1.0,1.0,0.0001,1.0,3,BDBBBB
4,1,1,0,0,0,-2.3473254925152127,-2.969113624076612,0.0,1.0,1.0,1.0,0.0001,0.1,9,BBBBBB
1,2,0,0,0,0,-2.7216831988860206,-2.1702975175611185,0.0,1.0,1.0,1.0,0.0001,1.0,10,BDBBBB
5,0,0,0,0,0,-2.3538215866335785,3.4758029645696884,0.0,1.0,1.0,1.0,0.0001,0.1,11,BBBBBB
6,0,0,0,0,0,-1.3567362259624736,3.3078054499900102,0.0,1.0,1.0,1.0,0.0001,0.1,15,BBBBBB
0,0,0,0,0,0,0.967029823083614,-1.8559644390018213,0.0,1.0,1.0,10.0,0.0001,0.1,5,BBBBBB
9,3,1,1,1,0,-1.6637220230183472,-2.3473254925152127,0.0,1.0,1.0,1.0,0.0001,0.01,5,BBBBBB
0,0,0,0,0,0,0.18314051595557,3.145717222457705,0.0,1.0,1.0,10.0,0.0001,1.0,8,BBBBBB
