stim1,stim2,stim3,stim4,stim5,stim6,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,world_EIG,batch_id,stim_sequence
13,1,0,0,0,1,3.437609615017935,-1.2149239999666066,-1.0,1.0,10.0,1.0,0.0001,0.001,16,BBBBBB
7,0,0,0,0,0,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,14,BBBBBB
5,0,0,0,0,0,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,2,BBBBBB
27,2,1,1,1,1,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,12,BBBBBB
20,19,0,0,0,0,3.437609615017935,-1.2149239999666066,-1.0,1.0,10.0,1.0,0.0001,0.001,17,BBBBBB
163,3,3,3,2,2,-1.456544441680619,-1.8391067670110417,-1.0,1.0,10.0,1.0,0.0001,0.0001,0,BBBBBB
10,11,4,2,1,1,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,15,BBBBBB
17,3,1,1,1,1,3.437609615017935,-1.2149239999666066,-1.0,1.0,10.0,1.0,0.0001,0.001,18,BBBBBB
12,1,1,1,1,1,-0.4121699351794485,-0.7063147957472401,-1.0,1.0,35.0,10.0,0.0001,1e-05,0,BBBBBB
39,6,2,1,1,1,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,3,BBBBBB
14,0,0,0,0,0,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,13,BBBBBB
5,1,0,0,0,0,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,16,BBBBBB
10,9,6,5,4,3,3.437609615017935,-1.2149239999666066,-1.0,1.0,10.0,1.0,0.0001,0.001,19,BBBBBB
13,2,2,2,2,2,-1.0701726545715435,2.524510947382109,-1.0,1.0,1.0,35.0,0.001,1e-06,0,BBBBBB
25,4,3,0,2,2,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,14,BBBBBB
11,6,4,4,3,2,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,17,BBBBBB
11,0,0,0,0,0,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,4,BBBBBB
19,7,8,8,6,5,1.752658931726604,3.6570630679073193,-1.0,1.0,10.0,1.0,0.001,1e-05,1,BBBBBB
15,10,2,2,2,1,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,18,BBBBBB
24,6,5,4,3,3,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,15,BBBBBB
71,13,5,3,2,2,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,5,BBBBBB
8,2,1,1,1,1,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,19,BBBBBB
24,0,0,0,0,0,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,16,BBBBBB
60,9,8,6,6,5,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,6,BBBBBB
7,0,0,0,0,0,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,17,BBBBBB
9,4,4,3,1,1,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,7,BBBBBB
38,6,5,5,5,4,-1.456544441680619,-1.8391067670110417,-1.0,1.0,10.0,1.0,0.0001,0.0001,1,BBBBBB
10,0,0,0,0,0,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,18,BBBBBB
17,0,0,5,0,0,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,0,BDBBBB
19,1,2,2,2,2,-1.3567362259624736,-0.6262944353567146,-1.0,1.0,10.0,1.0,0.0001,0.001,0,BDBBBB
13,1,0,0,0,0,1.752658931726604,3.6570630679073193,-1.0,1.0,10.0,1.0,0.001,1e-05,2,BBBBBB
23,3,0,0,0,0,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,19,BBBBBB
11,12,0,0,0,0,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,1,BDBBBB
22,2,1,1,1,1,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,8,BBBBBB
9,0,0,0,0,0,2.524510947382109,1.898190003720358,-1.0,1.0,35.0,10.0,0.0001,1e-06,0,BBBBBB
31,3,0,0,0,0,-0.4121699351794485,-0.7063147957472401,-1.0,1.0,35.0,10.0,0.0001,1e-05,1,BBBBBB
24,132,31,0,0,0,-1.3567362259624736,-0.6262944353567146,-1.0,1.0,10.0,1.0,0.0001,0.001,1,BDBBBB
11,16,0,0,0,0,2.7457822054365804,-1.011545212955963,-1.0,1.0,10.0,1.0,0.001,0.001,2,BDBBBB
104,53,40,33,27,24,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,9,BBBBBB
11,1,23,0,0,0,2.571166157862885,-1.564576598072312,-1.0,1.0,1.0,35.0,0.001,0.001,0,BDBBBB
42,3,2,2,2,2,-1.456544441680619,-1.8391067670110417,-1.0,1.0,10.0,1.0,0.0001,0.0001,2,BBBBBB
19,1,1,1,1,1,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,10,BBBBBB
8,4,22,0,0,0,2.571166157862885,-1.564576598072312,-1.0,1.0,1.0,35.0,0.001,0.001,1,BDBBBB
11,0,0,0,0,0,-1.8032578941548507,0.0087146688109317,-1.0,1.0,1.0,35.0,0.001,1e-05,1,BBBBBB
