,stim_squence,violation_type,stimulus_id,b_val,d_val,batch_id,j_i,EIG,Look_away,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,weig,n_sample
45,BBBB,animacy,2,-0.58,1.07,1574.0,9.427807486631016,6.86096256684492,6.86096256684492,6.86096256684492,6.86096256684492,6.86096256684492,6.86096256684492,6.86096256684492,6.86096256684492,6.86096256684492
46,BBBB,animacy,2,0.205,-1.63,1112.1478260869565,9.504347826086956,7.344347826086956,7.344347826086956,7.344347826086956,7.344347826086956,7.344347826086956,7.344347826086956,7.344347826086956,7.344347826086956,7.344347826086956
47,BBBB,animacy,2,0.469,-0.438,1141.5207100591715,9.479289940828401,6.937869822485207,6.937869822485207,6.937869822485207,6.937869822485207,6.937869822485207,6.937869822485207,6.937869822485207,6.937869822485207,6.937869822485207
48,BBBB,animacy,2,1.5,-0.58,1123.1875,9.5,7.575,7.575,7.575,7.575,7.575,7.575,7.575,7.575,7.575
49,BBBB,animacy,2,3.06,-0.83,1609.8947368421052,9.5,7.815789473684211,7.815789473684211,7.815789473684211,7.815789473684211,7.815789473684211,7.815789473684211,7.815789473684211,7.815789473684211,7.815789473684211
50,BBBB,animacy,3,-1.84,0.631,1578.452380952381,9.485119047619047,5.880952380952381,5.880952380952381,5.880952380952381,5.880952380952381,5.880952380952381,5.880952380952381,5.880952380952381,5.880952380952381,5.880952380952381
51,BBBB,animacy,3,-1.33,0.804,1315.3333333333333,9.5,5.647222222222222,5.647222222222222,5.647222222222222,5.647222222222222,5.647222222222222,5.647222222222222,5.647222222222222,5.647222222222222,5.647222222222222
52,BBBB,animacy,3,-1.09,0.639,1246.518309859155,9.552112676056337,6.3605633802816905,6.3605633802816905,6.3605633802816905,6.3605633802816905,6.3605633802816905,6.3605633802816905,6.3605633802816905,6.3605633802816905,6.3605633802816905
53,BBBB,animacy,3,-0.961,0.625,1453.957671957672,9.542328042328043,6.076719576719577,6.076719576719577,6.076719576719577,6.076719576719577,6.076719576719577,6.076719576719577,6.076719576719577,6.076719576719577,6.076719576719577
54,BBBB,animacy,3,-0.83,1.91,1200.6095505617977,9.508426966292134,6.196629213483146,6.196629213483146,6.196629213483146,6.196629213483146,6.196629213483146,6.196629213483146,6.196629213483146,6.196629213483146,6.196629213483146
55,BBBB,animacy,3,-0.58,1.07,1572.3512064343163,9.428954423592494,5.932975871313673,5.932975871313673,5.932975871313673,5.932975871313673,5.932975871313673,5.932975871313673,5.932975871313673,5.932975871313673,5.932975871313673
56,BBBB,animacy,3,0.205,-1.63,1112.9389179755672,9.525305410122163,6.591623036649215,6.591623036649215,6.591623036649215,6.591623036649215,6.591623036649215,6.591623036649215,6.591623036649215,6.591623036649215,6.591623036649215
57,BBBB,animacy,3,0.469,-0.438,1144.1839762611276,9.474777448071217,5.8486646884272995,5.8486646884272995,5.8486646884272995,5.8486646884272995,5.8486646884272995,5.8486646884272995,5.8486646884272995,5.8486646884272995,5.8486646884272995
58,BBBB,animacy,3,1.5,-0.58,1123.1875,9.5,6.246875,6.246875,6.246875,6.246875,6.246875,6.246875,6.246875,6.246875,6.246875
59,BBBB,animacy,3,3.06,-0.83,1609.8947368421052,9.5,6.336842105263158,6.336842105263158,6.336842105263158,6.336842105263158,6.336842105263158,6.336842105263158,6.336842105263158,6.336842105263158,6.336842105263158
60,BBBBBB,animacy,0,-1.84,0.631,1188.5882352941176,9.5,111.77352941176471,111.77352941176471,111.77352941176471,111.77352941176471,111.77352941176471,111.77352941176471,111.77352941176471,111.77352941176471,111.77352941176471
61,BBBBBB,animacy,0,-1.58,1.22,1727.5714285714287,9.5,113.30714285714286,113.30714285714286,113.30714285714286,113.30714285714286,113.30714285714286,113.30714285714286,113.30714285714286,113.30714285714286,113.30714285714286
62,BBBBBB,animacy,0,-1.25,1.03,1285.6470588235295,9.5,103.68823529411765,103.68823529411765,103.68823529411765,103.68823529411765,103.68823529411765,103.68823529411765,103.68823529411765,103.68823529411765,103.68823529411765
63,BBBBBB,animacy,0,-0.975,0.631,1324.5555555555557,9.5,112.25277777777778,112.25277777777778,112.25277777777778,112.25277777777778,112.25277777777778,112.25277777777778,112.25277777777778,112.25277777777778,112.25277777777778
64,BBBBBB,animacy,0,-0.907,0.212,1295.3,9.5,118.105,118.105,118.105,118.105,118.105,118.105,118.105,118.105,118.105
65,BBBBBB,animacy,0,-0.58,0.804,1296.0625,9.5,104.790625,104.790625,104.790625,104.790625,104.790625,104.790625,104.790625,104.790625,104.790625
66,BBBBBB,animacy,0,-0.355,1.32,1320.8333333333333,9.5,113.22222222222223,113.22222222222223,113.22222222222223,113.22222222222223,113.22222222222223,113.22222222222223,113.22222222222223,113.22222222222223,113.22222222222223
67,BBBBBB,animacy,0,0.332,-0.658,1249.7222222222222,9.5,107.96111111111111,107.96111111111111,107.96111111111111,107.96111111111111,107.96111111111111,107.96111111111111,107.96111111111111,107.96111111111111,107.96111111111111
68,BBBBBB,animacy,0,0.53,-1.25,1438.764705882353,9.5,114.58235294117647,114.58235294117647,114.58235294117647,114.58235294117647,114.58235294117647,114.58235294117647,114.58235294117647,114.58235294117647,114.58235294117647
69,BBBBBB,animacy,0,0.625,-1.08,1282.0555555555557,9.5,105.12777777777778,105.12777777777778,105.12777777777778,105.12777777777778,105.12777777777778,105.12777777777778,105.12777777777778,105.12777777777778,105.12777777777778
70,BBBBBB,animacy,1,-1.84,0.631,1185.6231454005936,9.52818991097923,9.362017804154302,9.362017804154302,9.362017804154302,9.362017804154302,9.362017804154302,9.362017804154302,9.362017804154302,9.362017804154302,9.362017804154302
71,BBBBBB,animacy,1,-1.58,1.22,1732.1294964028777,9.47841726618705,8.43884892086331,8.43884892086331,8.43884892086331,8.43884892086331,8.43884892086331,8.43884892086331,8.43884892086331,8.43884892086331,8.43884892086331
72,BBBBBB,animacy,1,-1.25,1.03,1282.240356083086,9.465875370919882,8.807121661721068,8.807121661721068,8.807121661721068,8.807121661721068,8.807121661721068,8.807121661721068,8.807121661721068,8.807121661721068,8.807121661721068
73,BBBBBB,animacy,1,-0.975,0.631,1330.4497206703911,9.502793296089385,8.058659217877095,8.058659217877095,8.058659217877095,8.058659217877095,8.058659217877095,8.058659217877095,8.058659217877095,8.058659217877095,8.058659217877095
74,BBBBBB,animacy,1,-0.907,0.212,1291.71608040201,9.489949748743719,10.07286432160804,10.07286432160804,10.07286432160804,10.07286432160804,10.07286432160804,10.07286432160804,10.07286432160804,10.07286432160804,10.07286432160804
75,BBBBBB,animacy,1,-0.58,0.804,1296.119496855346,9.49685534591195,8.235849056603774,8.235849056603774,8.235849056603774,8.235849056603774,8.235849056603774,8.235849056603774,8.235849056603774,8.235849056603774,8.235849056603774
76,BBBBBB,animacy,1,-0.355,1.32,1332.4732394366197,9.552112676056337,9.32112676056338,9.32112676056338,9.32112676056338,9.32112676056338,9.32112676056338,9.32112676056338,9.32112676056338,9.32112676056338,9.32112676056338
77,BBBBBB,animacy,1,0.332,-0.658,1247.2813370473539,9.479108635097493,8.579387186629527,8.579387186629527,8.579387186629527,8.579387186629527,8.579387186629527,8.579387186629527,8.579387186629527,8.579387186629527,8.579387186629527
